State;variable;kg marine fish per person and year
Amap‡;X9.1.16.Tainha.fresca;0,185
Tocantins;X9.1.16.Tainha.fresca;0
Maranh‹o;X9.1.16.Tainha.fresca;0,423
Piau’;X9.1.16.Tainha.fresca;0,006
Cear‡;X9.1.16.Tainha.fresca;0,061
Rio Grande do Norte;X9.1.16.Tainha.fresca;0,048
Para’ba;X9.1.16.Tainha.fresca;0
Pernambuco;X9.1.16.Tainha.fresca;0,027
Alagoas;X9.1.16.Tainha.fresca;0,017
Sergipe;X9.1.16.Tainha.fresca;0,126
Bahia;X9.1.16.Tainha.fresca;0,022
Minas Gerais;X9.1.16.Tainha.fresca;0
Esp’rito Santo;X9.1.16.Tainha.fresca;0
Rio de Janeiro;X9.1.16.Tainha.fresca;0
S‹o Paulo;X9.1.16.Tainha.fresca;0,026
Paran‡;X9.1.16.Tainha.fresca;0
Santa Catarina;X9.1.16.Tainha.fresca;0,094
Rio Grande do Sul;X9.1.16.Tainha.fresca;0,022
Mato Grosso do Sul;X9.1.16.Tainha.fresca;0
Mato Grosso;X9.1.16.Tainha.fresca;0
Goi‡s;X9.1.16.Tainha.fresca;0
Distrito Federal;X9.1.16.Tainha.fresca;0
Rond™nia;X9.1.17.Outros.pescados.em.file.congelado;0
Acre;X9.1.17.Outros.pescados.em.file.congelado;0
Amazonas;X9.1.17.Outros.pescados.em.file.congelado;0,005
Roraima;X9.1.17.Outros.pescados.em.file.congelado;0
Par‡;X9.1.17.Outros.pescados.em.file.congelado;0,025
Amap‡;X9.1.17.Outros.pescados.em.file.congelado;0,002
Tocantins;X9.1.17.Outros.pescados.em.file.congelado;0,01
Maranh‹o;X9.1.17.Outros.pescados.em.file.congelado;0,02
Piau’;X9.1.17.Outros.pescados.em.file.congelado;0,033
Cear‡;X9.1.17.Outros.pescados.em.file.congelado;0,102
Rio Grande do Norte;X9.1.17.Outros.pescados.em.file.congelado;0,071
Para’ba;X9.1.17.Outros.pescados.em.file.congelado;0,076
Pernambuco;X9.1.17.Outros.pescados.em.file.congelado;0,057
Alagoas;X9.1.17.Outros.pescados.em.file.congelado;0,023
Sergipe;X9.1.17.Outros.pescados.em.file.congelado;0,06
Bahia;X9.1.17.Outros.pescados.em.file.congelado;0,109
Minas Gerais;X9.1.17.Outros.pescados.em.file.congelado;0,026
Esp’rito Santo;X9.1.17.Outros.pescados.em.file.congelado;0,023
Rio de Janeiro;X9.1.17.Outros.pescados.em.file.congelado;0,128
S‹o Paulo;X9.1.17.Outros.pescados.em.file.congelado;0,102
Paran‡;X9.1.17.Outros.pescados.em.file.congelado;0,045
Santa Catarina;X9.1.17.Outros.pescados.em.file.congelado;0,086
Rio Grande do Sul;X9.1.17.Outros.pescados.em.file.congelado;0,054
Mato Grosso do Sul;X9.1.17.Outros.pescados.em.file.congelado;0,018
Mato Grosso;X9.1.17.Outros.pescados.em.file.congelado;0,009
Goi‡s;X9.1.17.Outros.pescados.em.file.congelado;0,031
Distrito Federal;X9.1.17.Outros.pescados.em.file.congelado;0,106
Rond™nia;X9.1.18.Outros.pescados.em.file.fresco;0,016
